"Name","Last/upcoming opponent","Decision","Last/upcoming date of fight","Average rounds fought","Record"
"Tom Aaron","Matt Ricehouse","loss","Dec. 04, 2010","2.0"," 5-3-0"
"Danny Abbadi","Jorge Gurgel","loss","Sep. 23, 2006","2.0"," 4-6-0"
"Nariman Abbasov","Ismael Bonfim","loss","Sep. 06, 2022","3.0"," 28-4-0"
"David Abbott","Kevin Ferguson","loss","Feb. 16, 2008","1.0952380952380953"," 10-15-0"
"Hamdy Abdelwahab","Don'Tale Mayes","nc","Jul. 30, 2022","3.0"," 5-0-0 (1 NC)"
"Mansur Abdul-Malik","Wesley Schultz(upcoming)","next","Aug. 13, 2024(upcoming)","0"," 5-0-0"
"Shamil Abdurakhimov","Jailton Almeida","loss","Jan. 21, 2023","2.1818181818181817"," 20-8-0"
"Hiroyuki Abe","Naoki Matsushita","draw","Aug. 27, 2006","1.5"," 8-15-3 (1 NC)"
"Daichi Abe","Li Jingliang","loss","Jun. 23, 2018","3.0"," 6-2-0"
"Papy Abedi","Dylan Andrews","loss","Aug. 28, 2013","2.0"," 10-4-0"
"Ricardo Abreu","Jake Collier","loss","Jun. 06, 2015","2.5"," 5-1-0"
"Klidson Abreu","Jamahal Hill","nc","May. 30, 2020","2.5"," 15-4-0 (1 NC)"
"Daniel Acacio","Rousimar Palhares","loss","Dec. 06, 2007","1.75"," 30-18-0"
"John Adajar","HanSeul Kim","loss","Jun. 10, 2022","1.0"," 6-2-0"
"Scott Adams","Ian Freeman","win","Mar. 10, 2000","1.0"," 8-1-0"
"Juan Adams","Justin Tafa","loss","Feb. 08, 2020","1.8"," 5-3-0"
"Anthony Adams","Impa Kasanganay","loss","Aug. 11, 2020","3.0"," 8-2-0"
"Zarrukh Adashev","Ode Osbourne","loss","Jun. 04, 2022","2.0"," 4-4-0"
"Israel Adesanya","Dricus Du Plessis(upcoming)","next","Aug. 17, 2024(upcoming)","3.75"," 24-3-0"
"Sam Adkins","David Abbott","loss","Sep. 20, 1996","1.25"," 7-20-2"
"Nick Agallar","Yves Edwards","loss","Nov. 21, 2003","2.0"," 24-6-0"
"Mariya Agapova","Luana Santos(upcoming)","next","Jul. 13, 2024(upcoming)","2.1666666666666665"," 10-4-0"
"Marcelo Aguiar","Matt Hughes","loss","Jun. 09, 2000","1.0"," 2-3-1"
"Edwin Aguilar","Martin Kampmann","loss","Jul. 22, 2006","1.0"," 26-19-0 (1 NC)"
"Jessica Aguilar","Marina Rodriguez","loss","Mar. 30, 2019","2.6"," 20-8-0"
"Kevin Aguilar","Tucker Lutz","loss","May. 15, 2021","2.7142857142857144"," 17-5-0"
"Jesus Aguilar","Mateus Mendonca","win","Feb. 24, 2024","2.0"," 10-2-0"
"Christian Aguilera","Carlston Harris","loss","May. 08, 2021","1.3333333333333333"," 14-8-0"
"Nick Aguirre","Payton Talbott","loss","Nov. 18, 2023","3.0"," 7-2-0"
"Mike Aina","Billy Evangelista","nc","May. 15, 2009","2.5"," 14-6-1 (1 NC)"
"Ashiek Ajim","Mateus Mendonca","loss","Sep. 27, 2022","1.0"," 6-2-0"
"Hitomi Akano","Sara McMann","loss","Jan. 21, 2012","2.75"," 18-10-0"
"Omari Akhmedov","Brad Tavares","loss","Jul. 10, 2021","2.533333333333333"," 21-6-1"
"Yoshihiro Akiyama","Alberto Mina","loss","Nov. 28, 2015","1.5909090909090908"," 14-6-0 (2 NC)"
"Rostem Akman","Jake Matthews","loss","Oct. 05, 2019","3.0"," 6-2-0"
"Razak Al-Hassan","Kyle Kingsbury","loss","Oct. 24, 2009","2.0"," 13-5-0"
"Abdul-Kareem Al-Selwady","Loik Radzhabov","loss","Mar. 02, 2024","3.0"," 15-4-0"
"Mostapha Al-Turk","Jon Madsen","loss","Apr. 10, 2010","1.6666666666666667"," 6-6-0"
"Herdem Alacabek","William Knight","loss","Aug. 13, 2019","3.0"," 5-1-0"
